# Archive port from Drive praxisos/docs/qms — historical snapshot; verify against current deps before regulatory use.
inv_code,source_file,found_via,hazard_id,hazard_category,rationale
INV-CS-1,prototype/lib/scanner/watertight.ts,grep-lib,HAZ-07,MedSAM adapter fail,"Watertight/manifold pre-check på Level 2 mesh output før STL-eksport."
INV-CS-1,prototype/lib/scanner/pipeline.ts,grep-lib,HAZ-07,MedSAM adapter fail,"Pipeline kaster og logger reason_code INV-CS-1 hvis watertight-check fejler."
INV-CS-1,prototype/lib/scanner/stl-export.ts,grep-lib,HAZ-07,MedSAM adapter fail,"STL-export refererer INV-CS-1 som error-kode ved manifold-fejl."
INV-CS-1,prototype/lib/orthotic/mill-adapter.ts,grep-lib,HAZ-07,MedSAM adapter fail,"Mill-adapter blokerer afsendelse til lab hvis STL post-verify (INV-CS-1) fejler."
INV-CS-2,prototype/lib/scanner/stl-export.ts,grep-lib,HAZ-07,MedSAM adapter fail,"Post-verify re-parse af STL (face-count + watertight) efter eksport."
INV-CS-6,prototype/lib/scanner/findings-schema.ts,grep-lib,HAZ-01,silent-stub clinical output,"Zod-refine håndhæver ai_generated:true på alle VLM-findings; kerne-kontrol mod umærket stub-output."
INV-CS-6,prototype/lib/scanner/pipeline.ts,grep-lib,HAZ-01,silent-stub clinical output,"Level 3 VLM-findings wrappes med redact + INV-CS-6 guard før viderebehandling."
INV-CS-6,prototype/lib/scanner/sprg-guardrails.ts,grep-lib,HAZ-06,VLM hallucination,"Final INV-CS-6 re-check på wrapped output som del af SPRG-guardrail-kæden mod hallucinerede/umærkede findings."
INV-CS-6,prototype/lib/scanner/vlm-caller.ts,grep-lib,HAZ-01,silent-stub clinical output,"Dobbelttjek at ai_generated er sat på alle findings efter VLM-kald."
INV-CS-6,prototype/lib/roboflow/mcp-client.ts,grep-lib,HAZ-01,silent-stub clinical output,"Failsafe-mock (når ROBOFLOW_API_KEY mangler) tagges eksplicit ai_generated:true for at undgå silent-stub-forveksling med rigtig scan."
INV-CS-6,prototype/lib/testing/persona-fixtures.ts,grep-lib,HAZ-01,silent-stub clinical output,"Reference i test-fixture-dokumentation til INV-CS-6-fokuserede test-suites."
INV-CS-7,prototype/lib/orchestrator.ts,grep-lib,HAZ-01,silent-stub clinical output,"MDR Class-IIa dispatch-gate; blokerer orchestrator-dispatch af klinisk funktionalitet ved forkert/manglende klassifikation, inkl. worker-level defense-in-depth."
INV-CS-8,prototype/lib/scanner/stl-export.ts,grep-lib,HAZ-07,MedSAM adapter fail,"feature_cad_export=false forhindrer STL-eksport; guard mod utilsigtet aktiv eksport-adapter."
INV-CS-11,prototype/lib/scanner/sprg-guardrails.ts,grep-lib,HAZ-08,klient-CPR i log,"redactPII anvendes på frameUrl og overall_summary_da før persistering og før MedSAM-kald."
INV-CS-11,prototype/lib/scanner/vlm-caller.ts,grep-lib,HAZ-08,klient-CPR i log,"Klient-kontekst redigeres for PII før VLM-kald."
INV-CS-13,prototype/lib/scanner/pipeline.ts,grep-lib + inv-known-gaps.json,HAZ-05,timeout-uden-audit,"PIPELINE_TIMEOUT_MS (180s). Optræder i inv-known-gaps.json: mangler testdækning for audit-logning ved timeout."
INV-CS-14,prototype/lib/scanner/gpu-adapter.ts,grep-lib,HAZ-04,GPU budget overrun,"GPU_HOURLY_LIMIT_SEC håndhæver hård grænse pr. tenant før GPU-lift igangsættes."
INV-CS-14,prototype/lib/shared-store/adapter.ts,grep-lib,HAZ-03,session forgery,"Samme SharedStore-adapter bruges til login-brute-force-beskyttelse (sekundær anvendelse af invarianten, ud over GPU-budget)."
INV-CS-19,prototype/lib/scanner/sprg-guardrails.ts,grep-lib,HAZ-06,VLM hallucination,"Assertion: hvert finding skal enten være anatomisk verificeret eller confidence-nedgraderet; verdict-count skal matche findings-count."
INV-NC-1,prototype/lib/configurator/constraints.ts,grep-lib,HAZ-07,MedSAM adapter fail,"Parameter-vektor må ikke muteres efter status='locked'; håndhæves også som pre-condition i mill-adapter før afsendelse til lab."
INV-NC-1,prototype/lib/configurator/schema.ts,grep-lib,HAZ-07,MedSAM adapter fail,"Helper for låst konfiguration (locked/sent_to_lab/delivered) refereret i schema."
INV-NC-2,prototype/lib/configurator/constraints.ts,grep-lib + inv-known-gaps.json,HAZ-01,silent-stub clinical output,"biophysical_map og hver region skal have ai_generated=true. Optræder i inv-known-gaps.json: mangler testdækning."
INV-NC-3,prototype/lib/configurator/schema.ts,grep-lib,PROC-01,Process-integrity (non-safety),"Alle 16 konfigurator-parametre skal have eksplicit range; håndhæves ved Zod-parse. Konfigurations-datakvalitet, ikke direkte patientsikkerhed."
INV-NC-3,prototype/lib/configurator/orthotic-generator.ts,grep-lib,PROC-01,Process-integrity (non-safety),"Final validation af parameter-ranges før orthotic-generering."
INV-NC-3,prototype/lib/configurator/constraints.ts,grep-lib,PROC-01,Process-integrity (non-safety),"Range-check for håndkalibrerede parametre ud over Zod; soft-variant returnerer i stedet for at kaste."
INV-NC-4,prototype/lib/configurator/constraints.ts,grep-lib,HAZ-07,MedSAM adapter fail,"sent_to_lab kræver approved_by og approved_at; forhindrer uapproveret geometri i at nå fysisk fremstilling."
INV-NC-4,prototype/lib/orthotic/mill-adapter.ts,grep-lib,HAZ-07,MedSAM adapter fail,"Mill-adapter re-tjekker approved_by/approved_at før dispatch til mill."
INV-NC-5,(ikke fundet i prototype/lib),inv-known-gaps.json,PROC-01,Process-integrity (non-safety),"Kendt gap uden kodemodpart fundet i lib-grep pr. denne iteration. Samme NC-præfiks som NC-1..NC-4 (configurator state/range-familie); kræver kildehenvisning fra docs/harness/EPIC-3-Neural-Configurator.md for endelig hazard-klassificering. Midlertidigt klassificeret non-safety indtil bekræftet."
